City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Avera,US,2022-05-09 23:16:39,33.194,-82.5271,73.54,48,1,5.73
251,San Patricio,US,2022-05-09 23:16:40,28.017,-97.5169,91.18,61,2,19.57
252,Saldanha,ZA,2022-05-09 23:16:41,-33.0117,17.9442,56.01,83,88,5.59
253,Kingston,JM,2022-05-09 23:14:05,17.997,-76.7936,83.25,74,24,1.01
254,Shakawe,BW,2022-05-09 23:16:41,-18.3667,21.85,57.67,34,0,4.18
255,Luderitz,NA,2022-05-09 23:16:42,-26.6481,15.1594,60.31,55,20,5.03
256,Leningradskiy,RU,2022-05-09 23:16:42,69.3833,178.4167,27.12,79,49,8.57
257,Katsuura,JP,2022-05-09 23:16:43,35.1333,140.3,58.8,81,100,16.73
258,Macklin,CA,2022-05-09 23:16:43,52.3334,-109.9348,59.34,35,74,12.17
259,Antofagasta,CL,2022-05-09 23:15:51,-23.65,-70.4,60.08,83,21,6.6
260,Dakar,SN,2022-05-09 23:16:44,14.6937,-17.4441,74.28,85,14,12.37
261,Yabrud,SY,2022-05-09 23:16:45,33.9674,36.6574,53.1,41,0,3.22
262,Olinda,BR,2022-05-09 23:16:45,-8.0089,-34.8553,78.53,78,40,4.61
263,Saint Anthony,US,2022-05-09 23:16:46,45.0205,-93.218,87.69,58,75,25.32
264,Shache,CN,2022-05-09 23:16:46,38.4167,77.2406,70.7,26,3,7.49
265,Lodwar,KE,2022-05-09 23:16:47,3.1191,35.5973,87.13,43,88,12.86
266,Carnarvon,AU,2022-05-09 23:16:47,-24.8667,113.6333,66.27,63,92,6.91
267,Port Hedland,AU,2022-05-09 23:16:48,-20.3167,118.5667,66.25,32,27,6.91
268,Onega,RU,2022-05-09 23:16:48,63.9061,38.1404,33.64,84,13,4.9
269,Jurilovca,RO,2022-05-09 23:16:49,44.7667,28.8667,46.49,53,15,6.13
270,Hami,CN,2022-05-09 23:16:49,42.8,93.45,59.79,14,0,16.31
271,Aguimes,ES,2022-05-09 23:17:50,27.9054,-15.4461,67.66,78,0,10.36
272,San Vicente,AR,2022-05-09 23:17:50,-26.6167,-54.1333,58.93,89,17,2.53
273,Khandyga,RU,2022-05-09 23:17:51,62.6667,135.6,32.43,91,96,4.72
274,Espanola,US,2022-05-09 23:17:52,35.9911,-106.0806,83.71,6,0,8.99
275,Vila Franca Do Campo,PT,2022-05-09 23:17:52,37.7167,-25.4333,67.19,82,1,3.98
276,Ritchie,ZA,2022-05-09 23:17:53,-29.038,24.6028,43.81,45,3,2.13
277,Ballina,AU,2022-05-09 23:17:53,-28.8667,153.5667,63.79,99,85,11.68
278,Haines Junction,CA,2022-05-09 23:17:54,60.7522,-137.5108,51.75,32,100,12.66
279,Myaundzha,RU,2022-05-09 23:17:54,63.0494,147.1858,29.03,87,96,2.19
280,Tessalit,ML,2022-05-09 23:17:55,20.1986,1.0114,81.36,7,0,8.75
281,Klaksvik,FO,2022-05-09 23:17:55,62.2266,-6.589,47.32,99,95,10.85
282,Tigil,RU,2022-05-09 23:17:56,57.8,158.6667,37.26,98,100,6.6
283,Chumikan,RU,2022-05-09 23:17:56,54.7183,135.315,33.55,83,37,9.37
284,Gaogou,CN,2022-05-09 23:17:57,34.0175,119.1886,55.96,83,100,4.61
285,Cozumel,MX,2022-05-09 23:17:57,20.5083,-86.9458,86.07,86,40,16.11
